;;;;;;;;;;;;;;;;
6;Nr sklepu;Miasto;Kod pocztowy;Ulica;;Data dostawy;Data monta?u;Nr zamówienia;CSP;Wykonawca;;Nr Maszyny;;;;
Ruda Slaska;5044;Chorzów;41-503;ul. Siemianowicka 157;;;28.08.2023;PO23/21745;B/325044000123;Martin;ok;23102768;50,305820;18,974200;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;2430;Polczyn-Zdrój;78-320;ul. Warszawska 19/2;;;;PO23/21135;B/322430000122;Dawid;ok;23103041;53,764000;16,095000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Koszalin;1868;Sianów;76-004;ul. Morska 4;;;;PO23/20407;B/321868000123;Dawid;ok;23103021;54,226000;16,292000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gdansk;6406;Gdansk;80-809;ul. W?adys?awa Cieszy?skiego 1a;;;01.09.2023;PO23/21971;B/326406000124;Micha?;ok;23103025;54,352270;18,649120;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;1244;Wroc?aw;51-206;ul. Wilanowska 25;;;05.09.2023;PO23/18279;B/321244000122;Wiesiek;;23103023;51,100000;17,033330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;6002;Lapy;18-100;ul. Zwirki i Wigury 25A;;;11.09.2023;PO23/19602;B/326002000123;Grzegorz;ok;23103057;52,991000;22,884000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gda?sk;4822;Wejherowo;84-201;Ul. Sikorskiego 33;;;;PO23/20609;B/324822000123;Micha?;ok;23103039;54,605680;18,235590;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;7738;Kraków;30-683;ul. Nowosadecka;;;15.09.2023;PO23/21783;B/317738000123;Irek;ok;23103081;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;4404;Wroc?aw;50-552;Borowska 114;;;19.09.2023;PO23/23601;B/324404000123;Wwiesiek;ok;23103059;51,100000;17,033330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;2063;Rybnik;44-200;ul. 3 Maja 31;;;;PO23/23096;B/322063000123;Martin;ok;23103241;50,097130;18,541790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;4856;KOBIÓR;43-210;UL. O?TUSZEWSKIEGO 2;;;22.09.2023;PO23/23553;B/324856000123;Martin;ok;23103128;51,107385;19,954520;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Sieradz;5020;BIELSKO BIA?A;43-300;UL. MOSTOWA 5;;;20.09.2023;PO23/23280;B/325020000123;Martin;ok;23103074;49,822450;19,046860;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;3084;Toszek;44-180;ul. Gliwicka 10A;;;;PO23/22691;B/323084000123;Martin;ok;23103238;50,271643;18,667943;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Lubartów;7412;Swidnik;21-040;jowej 22;;;;PO23/19979;B/317412000122;Grzegorz;ok;21104421;51,218980;22,696210;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubartów;3651;Lublin;20-143;ul. Magnoliowa 1;;;;PO23/20183;B/323651000123;Grzegorz;ok;23103285;51,247000;22,568000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Lubartów;4879;Lublin;20-576;ul. Bursztynowa 39;;;;PO23/21738;B/324879000123;Grzegorz;ok;23103289;51,247000;22,568000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gorzów Wlkp.;2702;Skwierzyna;66-440;ul. Jagielly 15-16;;;;PO23/21892;B/322702000123;Eltech;ok;23103052;52,248810;15,377565;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Kraków;5529;Kraków;;ul. Igo?omska;;19.07.2023;24.07.2023;PO23/17794;B/315529000122;Irek;ok;23102627;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;7771;Andrychów;34-120;ul. W?ókniarzy;;;22.09.2023;PO23/23968;B/317771000123;Martin;ok;23103228;49,854000;19,338000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Mszczonów;7442;Grodzisk Mazowiecki;BRAK;Zyrardowska;;;25.09.2023;PO23/22748;B/317442000122;Grzegorz;ok;23103264;52,103870;20,633700;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;7470;Nasielsk;05-190;ul.Kolejowa 14;;;28.09.2023;PO23/20559;B/317470000122;Grzegorz;ok;23103298;52,590000;20,806000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Mszczonów;4862;Rdom;26-604;J. S?owackiego 255J;;;25.09.2023;PO23/22735;B/324862000123;Grzegorz;ok;23103303;51,402530;21,147140;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Ruda Slaska;3637;Zdzieszowice;47-330;ul. Mysliwca 16;;;;PO23/23320;B/323637000123;Martin;ok;23103282;50,475150;17,965390;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Koszalin;5167;Cz?uchów;77-300;Szkolna 10;;;27.09.2023;PO23/24802;B/325167000123;Dawid;ok;23103339;53,665000;17,358000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudziadz;2696;Malbork;82-200;al. Wojska Polskiego 54;;;22.09.2023;PO23/23037;B/352696000123;Micha?;ok;23103058;54,035910;19,026600;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;7646;Przeworsk;37-200;ul. Dynowska 13;;;25.09.2023;PO23/23083;B/317646000123;Zenek;ok;23103341;50,059000;22,494000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Ruda Slaska;3179;Ustron;43-450;ul. Katowicka II 30;;;;PO23/23385;B/323179000123;Martin;ok;23103257;49,722000;18,812000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sosnowiec;6533;?azy;42-450;ul. Targowa 8;;;27.09.2023;PO23/21862;B/386533000220;Martin;ok;23103352;50,429000;19,394000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sieradz;7238;Kalisz;62-800;ul. Warszawska 42;;;25.09.2023;PO23/23267;B/317238000123;Grzegorz;ok;23102667;51,761000;18,091000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;3163;Opole;45-754;ul. Chelmonskiego 2;;;28.09.2023;PO23/23602;B/323163000122;Wiesiek;ok;23103332;50,672110;17,925330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;2775;Nowy S?cz;33-300;ul. W?gierska 175;;;25.09.2023;PO23/23111;B/322775000124;Zenek;ok;23103372;49,621770;20,697050;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;3570;Czeladz;41-250;ul. Bedzinska 10;;;26.09.2023;PO23/21774;B/323570000123;Martin;OK;23103368;50,315420;19,078240;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;3621;Rybnik;44-207;ul. Zebrzydowicka 74;;;06.10.2023;PO23/23213;B/323621000123;Martin;OK;23103388;50,097130;18,541790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;1775;Ciechanów;06-400;ul. Sikorskiego 11;;04.10.2023;29.09.2023;PO23/20627;B/321775000123;Grzegorz;OK;23103326;52,881000;20,620000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Lubartów;5153;Niemce;21-025;ul. Parkowa 1;;;;PO23/23484;B/325153000122;Jarek;OK;23103251;51,361000;22,639000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sieradz;1050;Ostrzeszów;63-500;ul. Sportowa 7;;;;PO23/22959;B/321050000123;Wiesiek;OK;23103451;51,426000;17,932000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;3564;BIERU?;43-155;UL.WARSZAWSKA 156;;;04.10.2023;PO23/25051;B/323564000123;Martin;OK;23103366;50,091000;19,090000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sosnowiec;5649;Bia?a Podlaska;21-500;ul. Sidorska 100;;;12.10.2023;PO23/25614;B/325649000123;Grzegorz;ok;23103522;52,032380;23,116520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudziadz;1993;Dzialdowo;13-200;ul. Sklodowskiej 35;;;26.09.2023;PO23/21414;B/321993000124;?ukasz;ok;23103390;53,239000;20,183000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudziadz;3242;Rypin;87-500;ul. M?awska 46 B;;;06.10.2023;PO23/24195;B/353242000123;Karol;ok;23103391;53,066000;19,410000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudziadz;2633;Bydgoszcz;85-099;ul. Sklodowskiej-Curie 29;;;29.09.2023;PO23/21652;B/322633000223;Karol;ok;23103395;53,123500;18,007620;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;2747;Kietrz;48-130;ul. Raciborska 1;;;16.10.2023;PO23/23136;B/322747000123;Martin;ok;23103567;50,080000;18,004000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gorzów Wlkp.;4453;Gubin;66-620;ul. Miodowa 28;;;06.10.2023;PO23/23744;B/324453000123;Rybnik;ok;23103461;51,950000;14,728000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;1284;Mielec;39-300;ul. Warne?czyka 11;;;09.10.2023;PO23/24278;B/321284000323;Zenek;ok;23103378;50,287090;21,423900;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;3571;Czerwionka-Leszczyny;44-230;ul. 3 Maja 23;;;16.10.2023;PO23/23211;B/323571000124;Martin;ok;23103594;50,150070;18,677620;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;7270;Skawina Radziszowska;32-053;Skawina Radziszowska;;;25.09.2023;PO22/24872;B/317270000121;Irek;ok;23103328;49,933000;19,800000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;1386;Warszawa;01-102;ul. Jana Olbrachta 46;;`;12.10.2023;PO23/21993;B/321386000123;;ok;23103664;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;1288;D?bica;39-200;ul. Jana Paw?a II 65;;;16.10.2023;PO23/24288;B/321288000124;Zenek;ok;23103589;50,051000;21,411000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;5524;Nowa S?upia;26-006;ul. Milanowska Wólka 65;;;16.10.2023;PO23/24284;B/325524000123;Zzenek;ok;23103595;50,949000;20,252000;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
SOSNOWIEC;5269;SOSNOWIEC;41-219;UL.LENARTOWICZA 39C;;;12.10.2023;PO23/25614;B/325269000123;Martin;ok;23103524;50,287000;19,104000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Koszalin;6475;Koszalin;75-950;Po?czy?ska 146;;;31.05.2022;PO23/24856;B/35KOSZ000123;Dawid;ok;23103737;54,194380;16,172220;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;3062;Koszalin;76-100;ul. Doktora Andrzeja Zientarskiego 3;;;;PO23/24955;B/323062000124;;ok;23103711;54,194380;16,172220;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;7492;Jastrz?bie Zdrój;44-335;Pszczy?ska;;;26.10.2023;PO23/25364;B/387492000122;Martin;ok;23103740;49,955420;18,574790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;2262;Slupsk;76-200;ul. Lutoslawskiego 3;;;05.10.2023;PO23/23445;B/322262000124;Micha?;ok;23103447;54,464000;17,028000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;7534;Dzierzgo?;82-440;ul. Zawadzkiego;;;03.10.2023;PO23/21315;B/317534000123;Micha?;ok;23103448;53,928022;19,040128;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Gdansk;5305;Elblag;82-300;ul. Rawska 30;;;;PO23/25352;B/325305000123;Micha?;ok;23103609;54,152200;19,408840;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;3249;Wegierska Górka;34-350;ul. Wyspianskiego 8;;;;PO23/26173;B/323249000123;Martin;ok;23103665;49,787645;19,274715;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Koszalin;7465;L?bork;84-351;Zeromskiego 13;;;;PO23/24856;B/35KOSZ000123;Dawid;ok;23103824;54,539210;17,750120;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gdansk;3546;Gdynia;81-244;ul. Morska 70A/B;;;;PO23/20731;B/323546000123;Micha?;ok;23103736;54,518890;18,531880;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gdansk;3555;Rumia;84-230;ul. Dabrowskiego 76;;;;PO23/25351;B/323555000122;Micha?;ok;23103882;54,570920;18,388020;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;1542;Knurów;44-190;ul. Witosa 4;;;;PO23/25176;B/35RUDA000223;Martin;ok;23103816;50,219710;18,650670;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;3006;Przemy?l;37-700;ul. 3 Maja 19;;;25.10.2023;PO23/26627;B/323006000124;;ok;23103738;49,783000;22,767000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Konin;6022;Konin;BRAK;ul. Dworcowa DEKADA;;;;PO23/26042;B/316022000118;Eltech;ok;23103700;52,223380;18,251210;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;7863;Poznan;BRAK;ul. B?ugarska;;aura;28.09.2023;PO23/24328;B/317863000123;Eltech;ok;23103280;52,406920;16,929930;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;1010;Poznan;61-148;os. Piastowskie 22;;;16.10.2023;PO23/23802;B/321010000123;Eltech;ok;23103586;52,406920;16,929930;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;1351;Poznan;61-289;os. Czecha 73;;;16.10.2023;PO23/24931;B/321351000123;Eltech;ok;23103533;52,406920;16,929930;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;2785;Kruszwica;88-150;ul. Kosciuszki 31/34;;;;PO23/19139;B/322785000124;Karol;ok;23103591;52,822895;18,234153;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Grudziadz;3304;?uromin;09-300;ul. Zwyci?stwa;;;13.10.2023;PO23/24196;B/353304000123;Karol;ok;23103587;53,066000;19,908000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudziadz;3713;Kwidzyn;82-500;ul. Kopernika 7A;;15.10.2023;16.10.2023;PO23/22137;B/323713000123;Karol;ok;23103588;53,724950;18,931140;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;5047;Bedzin;42-504;ul. Niepodleglosci 3;;;;PO23/26985;B/325047000122;Martin;ok;23103772;50,326000;19,125000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Lubartów;2246;Poniatowa;24-320;ul. 1 Maja 7C;;;;PO23/28493;B/322246000123;;ok;23103761;51,179000;22,068000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Lubin;4395;Serby;67-200;ul. Glówna 2;;;30.10.2023;PO23/23464;B/324395000123;Wiesiek;ok;23103710;51,670000;16,093000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;2332;Bierutów;56-420;ul. S?owackiego 20;;;31.10.2023;PO23/27353;;Wiesiek;ok;23103701;51,124000;17,546000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;1538;Wroclaw;53-344;ul. Komandorska 147;;;;PO23/21920;B/321538000123;;ok;23103291;51,100000;17,033330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;4563;Warszawa;03-968;ul. Saska 46;;otwarcie;03.11.2023;PO23/22281;B/324563000122;Grzegorz;;23100122;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;1693;Zgierz;95-100;pl. Kilinskiego 4;;;06.11.2023;PO23/26219;B/321693000123;;;23103817;51,855610;19,406230;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;7258;Opole;BRAK;ul. Nyska;;;;PO23/23605;B/317258000121;Wiesiek;;23103621;50,672110;17,925330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubin;4107;Karpacz;58-540;ul. Konstytucji 3 Maja 45A;;;31.10.2023;PO23/22548;B/324107000122;Wiesiek;;23103766;50,904000;15,735000;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Koszalin;3019;Barwice;78-460;ul. Zielona 2 A;;;;PO23/24860;B/323019000123;;;23103823;53,745000;16,355000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gdansk;2796;Pruszcz Gdanski;83-000;ul. Dobrowolskiego 2;;;;PO23/25350;B/322796000123;;;23103762;54,262000;18,636000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Lubartów;2016;Lublin;;Wolska 8a;;aura;;PO23/23134;B/322016000123;;;23103815;51,247000;22,568000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Gorzów Wlkp.;3516;Strzelce Kraje?skie;66-500;ul. Gorzowska 4A;;aura;03.11.2023;PO23/27355;B/323516000123;Eltech;;23103771;52,878000;15,532000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sosnowiec;1909;Myslowice;41-408;ul. Piastow Slaskich 19;;aura;;PO23/26258;B/321909000123;Martin;;23103950;50,208000;19,166000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kraków;7689;Olkusz;32-300;DK94/ ul. Wspólna;;aura;27.10.2023;PO23/26190;B/317689000123;Martin;;23103946;50,281000;19,565000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;6153;Gliwice;;Tarnogórska;;aura;29.10.2023;PO23/27245;B/316153000121;Martin;;23103830;50,297610;18,676580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;1333;Warszawa;;ul. Orlat Lwowskich 70;;aura;;PO23/28102;B/351333000123;;;23103954;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gdansk;5488;Gdansk;80-104;ul. Kartuska 26;;aura;;PO23/29499;B/325488000124;;;23103957;54,352270;18,649120;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;2045;PSZCZYNA;43-200;UL. KOPERNIKA 20;;aura;21.11.2023;PO23/30426;B/322045000124;Martin;;23104033;49,980000;18,949000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kostrzyn;2155;Poznan;61-432;ul. Jesionowa 16;;aura;08.11.2023;PO23/26751;B/322155000124;;;23103949;52,406920;16,929930;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Gorzów Wlkp.;1032;Wolszyn;64-200;Przemys?owa 10;;aura;;PO23/20331;B/321032000223;Eltech;;23103739;52,412264;16,629791;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Kraków;4345;Kielce;25-323;al. Solidarno?ci;;aura;10.11.2023;PO23/25774;B/324345000123;Grzegorz;;23104031;50,870330;20,627520;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;1329;Lódz;92-513;ul. Gogola 10;;aura;;PO23/27314;B/321329000123;Grzegorz;;23104003;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;7690;?opuszno;26-070;ul. Konecka;;aura;13.11.2023;PO23/27579;B/387690000123;Grzegorz;;23103959;50,949000;20,252000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Ruda Slaska;5025;Zabrze;41-810;ul. Paderewskiego 21A;;aura;20.11.2023;PO23/26898;B/325025000123;Martin;;23104030;50,324920;18,785760;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Mszczonów;2383;Grodzisk Mazowiecki;05-825;ul. Zyrardowska 35A;;aura;;PO23/28497;B/322383000124;;;23104057;52,103870;20,633700;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;5001;Bialystok;15-644;ul. Zyrardowska 35A;;aura;17.11.2023;PO23/23028;B/325001000123;;;23104061;53,133330;23,164330;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;2238;Suwalki;16-400;ul. Noniewicza 22;;aura;20.11.2023;PO23/24496;B/322238000123;Grzegorz;;23102843;54,111000;22,930000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sieradz;4958;Warta;98-290;ul. Kaszynskiego 17;;aura;;PO23/25018;B/324958000123;;;23104277;51,711000;18,622000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sieradz;6210;B?aszki;98-235;Lubanów;;aura;30.11.2023;PO23/23268;B/386210000118;;;23104239;51,651000;18,435000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;7279;NOWA WIES;64-510;ul. Brzozowa;TOPOLSKA;aura;29.11.2023;PO23/27726;B/317279000122;;;23104272;52,412264;16,629791;prefiks 2-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
Mszczonów;2033;Sierpc;09-200;ul. Kosciuszki 5;;aura;;PO23/28419;B/322033000123;;;23104252;52,856800;19,669130;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;5235;Bytom;41-902;ul. Sandomierska 26;;aura;01.11.2023;PO23/26963;B/325235000123;Martin;;23103951;50,348020;18,932820;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;4956;Bochnia;32-700;Proszówki 389;;aura;22.11.2023;PO23/28848;B/324956000123;;;23104245;49,969000;20,430000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wyszków;7661;Mlawa;06-500;ul. Franciszka Zwirki;;aura;28.11.2023;PO23/25553;B/317661000123;;;23104278;53,112780;20,384100;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosnowiec;1535;Czechowice-Dziedzice;43-502;ul. Weglowa 63;;aura;27.11.2023;PO23/26266;B/321535000123;Martin;;23104132;49,913000;19,006000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Ruda Slaska;7514;Stanowice;44-237;Zwyciestwa;;aura;27.11.2023;PO23/25757;B/317514000223;Martin;;23104286;50,128000;18,684000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Ruda Slaska;5224;Syrynia;44-361;ul. Raciborska 2G;;aura;27.11.2023;PO23/26900;B/325224000123;Martin;;23104134;50,020000;18,346000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;1042;Glucholazy;48-340;ul. Norwida 2;;aura;30.11.2023;PO23/27028;B/321042000123;;;23104203;50,315000;17,383000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;2236;Prudnik;48-200;ul. Kosciuszki 21;;aura;28.11.2023;PO23/26953;B/322236000123;;;23104165;50,321000;17,574000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;1736;Kudowa-Zdrój;57-350;ul. Zdrojowa 33;;aura;;PO23/26988;B/321736000123;Wiesiek;;23104029;50,442000;16,243000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;4431;Byczyna;46-220;ul. Kwiasowskiego 14;;aura;;PO23/26974;B/324431000124;;;23104133;51,114000;18,215000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudziadz;4034;Olsztyn;10-092;Ul. Obronców Tobruku 6;;aura;28.11.2023;PO23/26931;B/324034000122;;;23104167;53,778000;20,480000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kostrzyn;7487;Skórzewo;60-185;Poznanska;;aura;14.11.2023;PO23/26300;B/317487000123;Eletch;;23103947;52,398000;16,787000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kraków;2418;Skawina;32-050;ul. Przemys?owa 6;;aura;13.11.2023;PO23/27630;B/322418000123;Irek;;23103948;49,975000;19,828000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kraków;2489;Rabka-Zdrój;34-700;ul. Zakopianska 22A;;aura;01.12.2023;PO23/27631;B/322489000124;;;23104333;49,609000;19,966000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;6212;Mielec;;Szafera 37;;aura;;PO23/30475;B/316212000123;;;23104281;50,287090;21,423900;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;7857;S?dziszów M?p;39-120;ul. Witosa 22;;aura;27.11.2023;PO23/30476;B/317857000123;;;23104256;50,070000;21,700000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;2503;Warszawa;02-118;ul. Pruszkowska 4d;;aura;30.11.2023;PO23/29718;B/322503000123;;;23104383;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;4750;Elk;19-300;ul. Czeslawa Milosza 2;;aura;27.11.2023;PO23/28243;B/324750000123;;;23104317;53,828240;22,364690;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda Slaska;5192;Zory;44-245;ul. Wodzislawska 272C;;aura;30.11.2023;PO23/26899;B/325192000123;Martin;;23104375;50,045000;18,700000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kraków;5310;Wolbrom;32-340;ul. Szosa Olkuska 7;;aura;01.12.2023;PO23/28597;B/325310000123;Martin;;23104298;50,281000;19,565000;prefiks 3-cyfrowy kodu z arkusza;?rednia z rekordów w arkuszu
