;;;;;;;;;;;;;;;;
6;Nr sklepu;Miasto;Kod pocztowy;Ulica;;Data dostawy;Data monta?u;Nr zamówienia;CSP;Wykonawca;;Nr Maszyny;;;;
Brzeg;6557;?any;55-002;Parkowa 7;;;13.05.2022;PO22/10702;B/316557000119;Wiesiek;OK;22100723;51,045000;17,210000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;2889;Warszawa;;G?ebocka 110;;;20.06.2022;PO22/10840;B/322889000122;Grzesiek;OK;22101480;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;4534;Gliwice;44-113;Przyszowska 147;;;21.06.2022;PO22/07773;B/32454000122;Pilers;OK;22102262;50,297610;18,676580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;4773;Koszalin;75-671;Zwyci?stwa282;;;30.05.2022;PO22/12430;B/35KSZA000322;Dawid;OK;22102074;54,194380;16,172220;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;7422;Krosno;38-400;Podkarpacka 26;;;15.06.2022;PO22/13781;B317422000122;Zenek;OK;22102280;49,688660;21,770580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;4078;Tarnów;33-100;ul. Szkotnik 1A;;;30.06.2022;PO22/09916;B/324078000120;;;22102256;50,013810;20,986980;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;2621;Warszawa;;Wiatraczna 15;;;11.07.2022;PO022/14361;B/322621000221;Grzesiek;OK;22102343;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;7104;?wi?toch?owice;41-605;Chorzowska 19;;14.07.2022;18.07.2022;PO22/15408;B/317104000121;Pilers;OK;22102417;50,296360;18,917260;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;1966;S?awno;76-100;Armi Krajowej 22A-C;;27.07.2022;31.07.2022;PO22/17144;B/321966000122;Dawid;OK;22102821;54,362000;16,678000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Koszalin;1865;Stargard;73-100;Armi Krajowej 2B;;21.07.2022;31.07.2022;PO22/17145;B/321865000122;Dawid;OK;22102681;53,337000;15,050000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;4236;Warszawa;;Stra?acka;;;27.07.2022;PO22/18112;B/324236000120;Grzesiek;OK;22102694;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;4769;Rembelszczyzna;05-126;Jana Kazimierza 471;;;30.08.2022;PO22/18264;B/324769000122;Grzesiek;OK;22102815;52,345000;21,033000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Brzeg;3498;Bielawa;58-260;1maja 37;;11.08.2022;16.08.2022;PO22/18474;B/35BRZE000122;Wiesiek;OK;22102818;50,690750;16,623000;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;4751;Warszawa;;Rydygiera 7;;;09.08.2022;PO22/19304;B/324751000121;Grzesiek;OK;22102554;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;2093;?ód?;91-843;Kowalska;;;13.09.2022;PO22/21419;B/322093000122;Grzesiek;OK;22102673;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;2012;Ostrów Mazowiecka;;ul. 3 Maja 98;;;13.09.2022;PO22/18851;B/322012000122;Grzegorz;OK;22102630;52,802450;21,895070;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
GRUDZI?DZ;6226;KORONOWO;;Szosa Kotomierska;;;19.09.2022;PO22/21788;B/356226000122;Grzegorz;OK;22102813;53,313000;17,936000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
GRUDZI?DZ;1946;Brodnica;;ul. Mazurska 5/7;;;19.09.2022;;;Grzegorz;OK;22102714;53,259670;19,396530;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
WARSZAWA;4870;Warszawa;;Ostródzka 114;;;21.09.2022;PO22/22949;B/324870000122;Grzegorz;OK;22102831;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
WARSZAWA;7476;WARSZAWA;;Elektrownia Powisle/ Dobra 42;;26.09.2022;26.09.2022;PO22/20038;B/317476000122;Grzegorz;OK;22103394;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;5173;Zgierz;95-100;Ga?czy?skiego 40;;23.09.2022;23.09.2022;PO22/21421;B/325173000122;Grzesiek;OK;22103999;51,855610;19,406230;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
WARSZAWA;7596;WARSZAWA;;Zwirki i Wigury 3A;;26.09.2022;26.09.2022;PO22/20022;B/317596000122;Grzegorz;OK;22102932;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
WARSZAWA;7561;WARSZAWA;;Aleje Jerozolimskie/ Atlas Tower 123;;;27.09.2022;PO22/19998;B/317561000122;Grzegorz;OK;22102938;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
WARSZAWA;4606;Warszawa;;ul. Karczunkowska 139A;;;27.09.2022;PO022/23292;B/324606000122;Grzegorz;OK;22103142;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Brzeg;4403;O?awa;55-200;3 Maja 2/c;;23.09.2022;27.09.2022;PO22/22798;B/32440300021;Wiesiek;OK;22103131;50,946600;17,292600;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sieradz;3509;LUBO?;62-030;UL. ?ABIKOWSKA 71;;26.09.2022;28.09.2022;PO22/20082;B/323509000122;Karol;OK;22103216;52,347050;16,892670;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
KOSTRZYN;6328;POZNA?;;UL. DYMKA 1;;26.09.2022;28.09.2022;PO22/22008;B/316328000121;Karol;OK;22103039;52,406920;16,929930;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
GDA?SK;3904;Kosakowo;81-198;Ul. ?eromskiego 32;;;03.10.2022;PO22/22868;B/323904000122;Grzegorz;OK;22103058;54,588000;18,484000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;1741;Lubawa;14-260;ul. Kopernika 3;;10.10.2022;10.10.2022;PO22/25091;B/351741000122;?ukasz;OK;22103133;53,503000;19,749000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Mszczonów;2943;Sochaczew;96-500;ul. 600-lecia 40;;;12.10.2022;PO22/23364;B/322943000123;Grzesiek;OK;22103348;52,229440;20,238380;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;5196;Micha?owice;05-816;Kruchy 24;;17.10.2022;17.10.2022;PO22/24150;B/325196000122;Grzesiek;OK;22103146;52,174000;20,880000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Koszalin;1961;Koszalin;75-237;ul. Morska;;14.10.2022;17.10.2022;PO22/24205;B/35KOSZ000122;Dawid;OK;22103392;54,194380;16,172220;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;1773;Nowe Miasto Lubawskie;13-300;ul. Grunwaldzka 19;;14.10.2022;17.10.2022;PO22/25098;B/351773000122;?ukasz;OK;22103393;53,425000;19,595000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wyszków;4185;Mo?ki;19-101;ul. Wojska Polskiego 61;;21.10.2022;25.10.2022;PO22/22230;B/324185000222;Grzesiek;OK;22102981;53,407000;22,797000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wyszków;4536;Kleosin;07-201;ul. Mickiewicza 14A;;;19.10.2210;PO22/22801;B/324536000123;Grzesiek;OK;22103270;53,094000;23,099000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wojnicz;7438;Jod?owa;39-225;Jod?owa 889b;;21.10.2022;24.10.2022;PO22/24075;B/317438000122;Zenek;OK;22103201;49,872000;21,278000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudziadz;2067;Radziejów;88-200;ul. Komunalna;;;26.10.2022;PO22/25188;B/322067000122;Grzesiek;OK;22102945;52,625000;18,528000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;1633;Lidzbark Warmi?ski;11-100;Lipowa 5;;25.10.2022;31.10.2022;PO22/25180;B/321633000122;Grzesiek;OK;22103951;54,125880;20,579540;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
SOSNOWIEC;5026;Tychy;43-100;Zwierzyniecka 2;;02.11.2022;03.11.2022;PO22/26666;B/325026000122;Martin;OK;22103952;50,137170;18,966410;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
SOSNOWIEC;4858;Wieprz;34-382;Zywiecka 974;;02.11.2022;04.11.2022;PO22/25818;B/324858000122;Martin;OK;22103949;49,890000;19,357000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;4025;Warszawa;03-042;Marywilska 44;;;04.11.2022;PO22/25944;B/324026000122;Grzesiek;OK;22102747;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;5673;I?awa;14-200;Sobieskigo 43;;02.11.2022;05.11.2022;PO22/26869;B/325673000123;?uklasz;OK;22104036;53,596010;19,568490;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kostrzyn;7507;My?lenice;;ul. S?owackiego galeria Elipsa;;02.11.2022;07.11.2022;PO22/27015;B/317507000322;Martin;OK;22103395;49,833830;19,938300;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Kraków;3784;Bia?obrzegi;26-800;Krakowska 88;;;22.12.2022;PO22/26851;B/353784000122;Grzesiek;OK;22105751;51,646000;20,950000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Kraków;6450;Kraków;30-392;Bunscha 2;;;14.11.2022;PO22/24871;B/316450000121;Martin;OK;22105149;50,061430;19,936580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Koszalin;1987;Szczecinek;78-400;Przemys?owa 4;;;20.10.2022;PO22/26232;B/321987000122;Dawid;OK;22103194;53,707910;16,699370;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;4836;Warszawa;00-357;Nowy Swiat 68;;;21.11.2022;PO22/26222;B/324836000122;Grzesiek;OK;22103406;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;4375;Warszawa;;ul. Hirszfelda 2A;;;21.11.2022;PO22/26437;;Grzzesiek;OK;22105105;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;5075;Jaworzno;43-608;ul. Wygoda;;;;PO22/27887;B/325075000222;Martin;OK;22105590;50,205280;19,274980;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Sosonowiec;7454;Katowice;40-749;Bielska (Szebesty );;;24.11.2022;PO22/25266;B/317454001220;Martin;OK;22105744;50,258410;19,027540;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;4759;Bielsko-Biala;43-316;ul. Kolista 21;;;28.11.2022;PO22/27510;B/324759000122;Martin;OK;22105505;49,822450;19,046860;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;4959;?ochowo;86-065;ul. Szosa Bydgoska 37;;;26.10.2022;PO22/26456;B/324959000122;Grzegorz;OK;22103948;53,130000;17,916000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;7608;Warszawa;;ul. Herbsta 4;;;29.12.2022;PO22/28585;B/317608000122;Grzegorz;OK;22105859;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;5360;Dzia?dowo;13-200;Olszty?ska 2;;25.10.2022;;PO22/25173;B/325360000122;?ukasz;OK;22103453;53,239000;20,183000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;5263;Parzniew;05-808;ul. Solidarnosci 1;;;28.11.2022;PO22/27197;B/325263000122;Grzegorz;OK;22105069;52,173000;20,756000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;4418;Warszawa;;ul. Gurgacza 2 (Fersta);;;05.12.2022;PO22/27588;B/324418000222;;OK;22105134;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;3719;Warszwa;02-496;Warszawska 42;;29.11.2022;29.11.2022;PO22/26731;B/323719000122;Grzesiek;OK;22105301;52,230000;21,000000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Warszawa;7475;Warszawa;;Bia?obrzeska;;;30 12 22;PO22/29674;B/317475000222;Grzegorz;OK;22105858;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;7524;Augustów;16-300;Rajgrodzka;;;;PO22/29426;B/317524000123;Grzegorz;OK;23100158;53,843210;22,979790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Warszawa;7315;Warszawa;;Reguly Regulska;;;21.12.2022;PO22/29953;B/317315000122;Grzesiek;OK;22105747;52,229770;21,011780;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Mszczonów;3373;Radziejowice;;S?oneczna;ju? by?a;;;;;;;22105741;52,008000;20,547000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
